Sample_Type,View,X_cm,Y_cm,Time_s,Temperature_C
0cb_70W,Top,0.7333333333333334,0.0,60,24.138
0cb_70W,Top,0.7,0.0,60,24.028
0cb_70W,Top,0.6666666666666666,0.0,60,24.357
0cb_70W,Top,0.6333333333333333,0.0,60,24.539
0cb_70W,Top,0.6,0.0,60,24.284
0cb_70W,Top,0.5666666666666667,0.0,60,24.539
0cb_70W,Top,0.5333333333333333,0.0,60,24.575
0cb_70W,Top,0.5,0.0,60,24.138
0cb_70W,Top,0.4666666666666667,0.0,60,24.247
0cb_70W,Top,0.43333333333333335,0.0,60,24.575
0cb_70W,Top,0.3666666666666667,0.0,60,25.698
0cb_70W,Top,0.3333333333333333,0.0,60,26.167
0cb_70W,Top,0.26666666666666666,0.0,60,28.094
0cb_70W,Top,0.23333333333333334,0.0,60,28.872
0cb_70W,Top,0.2,0.0,60,29.33
0cb_70W,Top,0.16666666666666666,0.0,60,29.715
0cb_70W,Top,0.13333333333333333,0.0,60,31.491
0cb_70W,Top,0.1,0.0,60,32.868
0cb_70W,Top,0.06666666666666667,0.0,60,34.401
0cb_70W,Top,0.03333333333333333,0.0,60,35.65
0cb_70W,Top,0.0,0.0,60,37.553
0cb_70W,Top,0.4,0.0,60,25.047
0cb_70W,Top,0.3,0.0,60,27.562
0cb_70W,Side,0.0,0.48750000000000004,60,36.269779205
0cb_70W,Side,0.0,0.0,60,44.148792267
0cb_70W,Side,0.0,0.275,60,37.355564117
0cb_70W,Side,0.0,0.28750000000000003,60,37.163032532
0cb_70W,Side,0.0,0.30000000000000004,60,36.583621979
0cb_70W,Side,0.0,0.3125,60,35.741809845
0cb_70W,Side,0.0,0.325,60,34.931507111
0cb_70W,Side,0.0,0.3375,60,34.58523941
0cb_70W,Side,0.0,0.35000000000000003,60,34.219169617
0cb_70W,Side,0.0,0.36250000000000004,60,33.974502563
0cb_70W,Side,0.0,0.375,60,33.776519775
0cb_70W,Side,0.0,0.3875,60,34.040424347
0cb_70W,Side,0.0,0.4,60,34.228569031
0cb_70W,Side,0.0,0.41250000000000003,60,34.162754059
0cb_70W,Side,0.0,0.42500000000000004,60,33.776519775
0cb_70W,Side,0.0,0.4375,60,33.804821014
0cb_70W,Side,0.0,0.45,60,33.927391052
0cb_70W,Side,0.0,0.4625,60,34.228569031
0cb_70W,Side,0.0,0.47500000000000003,60,35.080936432
0cb_70W,Side,0.0,0.2625,60,37.190555573
0cb_70W,Top,0.7666666666666667,0.0,60,24.757
0cb_70W,Side,0.0,0.25,60,36.223556519
0cb_70W,Side,0.0,0.225,60,36.168067932
0cb_70W,Side,0.0,0.0125,60,43.922863007
0cb_70W,Side,0.0,0.025,60,40.59261322
0cb_70W,Side,0.0,0.037500000000000006,60,38.204605103
0cb_70W,Side,0.0,0.05,60,36.970199585
0cb_70W,Side,0.0,0.0625,60,36.666564941
0cb_70W,Side,0.0,0.07500000000000001,60,36.546741486
0cb_70W,Side,0.0,0.08750000000000001,60,36.970199585
0cb_70W,Side,0.0,0.1,60,37.383045197
0cb_70W,Side,0.0,0.1125,60,37.68491745
0cb_70W,Side,0.0,0.125,60,38.268276215
0cb_70W,Side,0.0,0.1375,60,38.885101318
0cb_70W,Side,0.0,0.15000000000000002,60,38.803638458
0cb_70W,Side,0.0,0.1625,60,38.077163696
0cb_70W,Side,0.0,0.17500000000000002,60,37.483753204
0cb_70W,Side,0.0,0.1875,60,37.153858185
0cb_70W,Side,0.0,0.2,60,36.933437347
0cb_70W,Side,0.0,0.21250000000000002,60,36.436031342
0cb_70W,Side,0.0,0.23750000000000002,60,36.186569214
0cb_70W,Top,0.8,0.0,60,24.866
